Original_Gene_ID,Mean_Abs_SHAP
HORVUMOREXr31HG0092140,0.0020989603552152404
HORVUMOREXr34HG0386020,0.0020968280229135415
HORVUMOREXr32HG0123490,0.0020965811379210207
HORVUMOREXr33HG0270870,0.0020951663437881506
HORVUMOREXr35HG0475540,0.0020933028956642372
HORVUMOREXr33HG0309210,0.0020879728990894366
HORVUMOREXr31HG0043350,0.0020874569957959467
HORVUMOREXr35HG0527470,0.0020866507274331526
HORVUMOREXr32HG0168950,0.0020821225545660125
HORVUMOREXr34HG0399600,0.002079640274751
HORVUMOREXr32HG0158290,0.0020786865716218017
HORVUMOREXr32HG0179670,0.0020785629976307974
HORVUMOREXr31HG0061750,0.0020776930250576697
HORVUMOREXr33HG0268410,0.002076162397061125
HORVUMOREXr33HG0273800,0.0020734285589423963
HORVUMOREXr33HG0269850,0.002073098079345073
HORVUMOREXr32HG0187640,0.0020727760830226314
HORVUMOREXr32HG0097610,0.0020708162957453168
HORVUMOREXr31HG0030650,0.0020692089575823046
HORVUMOREXr35HG0503060,0.002069101058068554
HORVUMOREXr31HG0020220,0.0020675082879097317
HORVUMOREXr33HG0300760,0.002066027703253894
HORVUMOREXr35HG0496910,0.0020641621673712506
HORVUMOREXr31HG0001120,0.002059939181399386
HORVUMOREXr32HG0197110,0.002058630319952499
HORVUMOREXr31HG0077720,0.0020585771069272594
HORVUMOREXr35HG0488680,0.00205572179867886
HORVUMOREXr32HG0202060,0.002053656671487261
HORVUMOREXr35HG0516940,0.0020486588913081506
HORVUMOREXr32HG0159720,0.00204514564749843
HORVUMOREXr35HG0528520,0.002044817778369179
HORVUMOREXr31HG0063340,0.002041837479628157
HORVUMOREXr35HG0510650,0.0020381109301160906
HORVUMOREXr31HG0052810,0.0020377128188556527
HORVUMOREXr33HG0290290,0.0020374377064581494
HORVUMOREXr32HG0119920,0.0020370947671472096
HORVUMOREXr35HG0434160,0.0020367350852757227
HORVUMOREXr35HG0485980,0.0020362098629993853
HORVUMOREXr32HG0196370,0.0020352846951573154
HORVUMOREXr33HG0277670,0.002034854937592172
HORVUMOREXr32HG0185300,0.00203297768864104
HORVUMOREXr32HG0170290,0.0020261192483303605
HORVUMOREXr32HG0183450,0.0020258045161972403
HORVUMOREXr34HG0407460,0.0020234284063917586
HORVUMOREXr35HG0527170,0.0020228017261251807
HORVUMOREXr35HG0477210,0.002021046917725471
HORVUMOREXr31HG0080890,0.0020177416696606086
HORVUMOREXr33HG0236340,0.002012581584895088
HORVUMOREXr34HG0334440,0.0020120810002845248
HORVUMOREXr32HG0124400,0.0020028273803472984
HORVUMOREXr32HG0138630,0.0020011603057719183
HORVUMOREXr32HG0201890,0.001999360107947723
HORVUMOREXr35HG0506390,0.001997141968276992
HORVUMOREXr34HG0348510,0.0019958515013422584
HORVUMOREXr35HG0426280,0.0019913979383454714
HORVUMOREXr33HG0261880,0.001988155655635637
HORVUMOREXr35HG0502990,0.0019799957436225668
HORVUMOREXr35HG0510500,0.001979174100306409
HORVUMOREXr33HG0279390,0.0019790459759678925
HORVUMOREXr35HG0513000,0.0019748598288424546
HORVUMOREXr31HG0066260,0.001972821964659488
HORVUMOREXr33HG0298170,0.001972774289606605
HORVUMOREXr35HG0512880,0.001970734179485589
HORVUMOREXr35HG0424290,0.0019693418117822147
HORVUMOREXr31HG0071490,0.001960853515411145
HORVUMOREXr35HG0527500,0.0019605132980359485
HORVUMOREXr33HG0251280,0.0019532159738446355
HORVUMOREXr33HG0329000,0.0019519120750555886
HORVUMOREXr34HG0417070,0.00195008152135415
HORVUMOREXr31HG0026030,0.0019468564866838279
HORVUMOREXr35HG0488610,0.0019463955250466824
HORVUMOREXr34HG0400610,0.0019452043157616571
HORVUMOREXr31HG0075570,0.0019400882747868308
HORVUMOREXr32HG0146050,0.0019397534501604241
HORVUMOREXr34HG0415970,0.001939622085992596
HORVUMOREXr33HG0251850,0.0019371159757429269
HORVUMOREXr31HG0044100,0.001935968429024797
HORVUMOREXr34HG0398840,0.0019356605243228842
HORVUMOREXr31HG0042100,0.0019320004189648898
HORVUMOREXr31HG0056630,0.0019308064454526175
HORVUMOREXr34HG0412640,0.001929882580679987
HORVUMOREXr34HG0405870,0.0019212729480204871
HORVUMOREXr32HG0148850,0.0019206781864340883
HORVUMOREXr34HG0370380,0.0019199419557116926
HORVUMOREXr35HG0468000,0.0019179385722054576
HORVUMOREXr33HG0311410,0.001917470512435102
HORVUMOREXr32HG0209810,0.0019165280710421939
HORVUMOREXr31HG0094950,0.0019139868128695526
